"last_name, first_name",team
"Araúz, Jonathan",New York
"Veen, Zac",Colorado
"Vázquez, Luis",Chicago
"Haseley, Adam",Chicago
"Ruf, Darin",Free
"Clarke, Denzel",Oakland
"Owings, Chris",Free
"Díaz, Isan",Miami
"Anderson, Brian",Milwaukee
"Thomas, Rhylan",New York
"Fry, David",Cleveland
"Gordon, Nick",Miami
"Handley, Maverick",Baltimore
"Workman, Gage",Detroit
"Keaschall, Luke",Minnesota
"Hernaiz, Darell",Oakland
"Cooper, Garrett",Chicago
"Gallagher, Cam",Baltimore
"Jung, Jace",Detroit
"Driscoll, Logan",San Diego
"Longoria, Evan",Free
"Myers, Wil",Free
"Mercado, Óscar",St.Louis
"Lile, Daylen",Washington
"Alberto, Hanser",Free
"Rushing, Dalton",Los Angeles
"Mangum, Jake",Miami
"López, Jack",Los Angeles
"Mejía, Francisco",Tampa Bay
"Marcano, Tucupita",Pittsburgh
"Pollock, AJ",Free
"Marisnick, Jake",Los Angeles
"Stevenson, Cal",San Francisco
"Ballesteros, Moisés",Chicago
"Phillips, Brett",Los Angeles
"Loperfido, Joey",Houston
"Berroa, Steward",Seattle
"Teodosio, Bryce",Los Angeles
"Bemboom, Anthony",Baltimore
"Ellis, Drew",Philadelphia
